iter	Passed	Remaining
0	0	77
1	2	109
2	3	114
3	4	106
4	5	106
5	7	112
6	8	113
7	10	118
8	11	120
9	13	121
10	14	119
11	15	117
12	17	114
13	18	113
14	19	111
15	20	109
16	22	107
17	23	106
18	24	105
19	26	104
20	27	102
21	28	101
22	29	99
23	31	99
24	32	97
25	33	94
26	34	93
27	35	91
28	36	90
29	38	90
30	39	88
31	41	88
32	42	86
33	44	85
34	45	83
35	46	82
36	47	81
37	48	79
38	49	77
39	50	76
40	51	74
41	52	72
42	53	70
43	54	69
44	56	68
45	57	67
46	58	65
47	59	64
48	60	63
49	61	61
50	62	59
51	63	58
52	64	57
53	65	55
54	66	54
55	67	52
56	68	51
57	69	50
58	70	48
59	71	47
60	72	46
61	73	44
62	73	43
63	74	41
64	75	40
65	76	39
66	76	37
67	77	36
68	78	35
69	79	33
70	79	32
71	80	31
72	81	30
73	82	28
74	83	27
75	83	26
76	84	25
77	85	24
78	86	22
79	87	21
80	88	20
81	88	19
82	89	18
83	90	17
84	90	16
85	91	14
86	92	13
87	92	12
88	93	11
89	94	10
90	94	9
91	95	8
92	96	7
93	96	6
94	97	5
95	97	4
96	98	3
97	99	2
98	99	1
99	100	0
