iter	Passed	Remaining
0	147	147270
1	148	74002
2	149	49555
3	149	37332
4	150	29958
5	151	25071
6	151	21550
7	152	18903
8	152	16841
9	153	15191
10	153	13844
11	154	12718
12	154	11766
13	155	10954
14	156	10246
15	156	9647
16	157	9098
17	157	8609
18	158	8172
19	159	7793
20	159	7442
21	160	7129
22	160	6834
23	161	6560
24	161	6316
25	162	6086
26	162	5872
27	163	5673
28	164	5496
29	164	5324
30	165	5161
31	165	5009
32	166	4865
33	166	4730
34	166	4603
35	167	4482
36	167	4369
37	168	4267
38	169	4164
39	169	4066
40	169	3973
41	171	3901
42	171	3822
43	172	3745
44	173	3674
45	174	3625
46	175	3560
47	176	3495
48	176	3432
49	177	3371
50	177	3311
51	178	3254
52	179	3200
53	179	3147
54	180	3095
55	180	3048
56	181	2999
57	181	2952
58	182	2907
59	182	2863
60	183	2824
61	184	2783
62	184	2743
63	184	2705
64	185	2668
65	186	2638
66	187	2604
67	187	2570
68	188	2537
69	188	2506
70	189	2474
71	189	2443
72	190	2419
73	191	2390
74	191	2361
75	192	2337
76	192	2310
77	193	2287
78	193	2260
79	194	2238
80	195	2213
81	195	2191
82	196	2165
83	196	2143
84	197	2120
85	197	2099
86	198	2079
87	198	2058
88	199	2038
89	199	2020
90	200	2000
91	200	1980
92	201	1963
93	201	1945
94	202	1929
95	203	1912
96	203	1896
97	204	1879
98	204	1864
99	205	1848
100	206	1834
101	206	1819
102	207	1804
103	207	1790
104	208	1776
105	208	1762
106	209	1748
107	210	1735
108	210	1721
109	211	1708
110	211	1695
111	212	1684
112	213	1672
113	213	1659
114	214	1648
115	214	1637
116	215	1624
117	216	1615
118	216	1605
119	217	1593
120	217	1582
121	218	1570
122	218	1559
123	219	1550
124	220	1540
125	220	1530
126	221	1519
127	221	1509
128	222	1500
129	222	1490
130	223	1480
131	223	1470
132	224	1461
133	224	1452
134	225	1444
135	226	1436
136	227	1431
137	227	1424
138	228	1416
139	229	1409
140	229	1401
141	230	1392
142	230	1384
143	231	1377
144	232	1369
145	232	1361
146	233	1354
147	234	1347
148	234	1340
149	235	1333
150	235	1325
151	236	1319
152	237	1312
153	237	1305
154	238	1297
155	238	1291
156	239	1285
157	239	1278
158	240	1273
159	241	1267
160	241	1260
161	242	1253
162	242	1247
163	243	1241
164	243	1234
165	244	1228
166	245	1222
167	245	1216
168	246	1211
169	246	1205
170	247	1199
171	248	1193
172	248	1188
173	249	1184
174	250	1178
175	250	1173
176	251	1168
177	251	1162
178	252	1157
179	253	1152
180	253	1147
181	254	1143
182	255	1140
183	255	1134
184	256	1130
185	257	1126
186	258	1122
187	258	1117
188	259	1112
189	259	1108
190	260	1103
191	260	1098
192	261	1093
193	262	1088
194	262	1084
195	263	1079
196	263	1075
197	264	1070
198	265	1067
199	265	1063
200	266	1058
201	266	1054
202	267	1050
203	268	1046
204	268	1042
205	269	1037
206	269	1033
207	270	1029
208	270	1025
209	271	1021
210	272	1017
211	272	1013
212	273	1009
213	273	1005
214	274	1001
215	274	997
216	275	994
217	276	990
218	276	986
219	277	982
220	277	978
221	278	975
222	278	971
223	279	967
224	279	964
225	280	961
226	281	958
227	281	954
228	282	951
229	283	947
230	283	944
231	284	940
232	284	937
233	285	934
234	285	930
235	286	927
236	287	924
237	287	920
238	288	917
239	288	913
240	289	910
241	289	907
242	290	904
243	290	900
244	291	897
245	291	894
246	292	891
247	293	888
248	293	885
249	294	882
250	294	879
251	295	876
252	295	873
253	296	870
254	297	868
255	297	865
256	298	862
257	298	859
258	299	856
259	300	854
260	300	851
261	301	848
262	301	846
263	302	843
264	302	840
265	303	837
266	303	834
267	304	831
268	305	828
269	305	826
270	306	823
271	306	820
272	307	818
273	307	815
274	308	812
275	308	810
276	309	808
277	310	805
278	311	803
279	311	801
280	312	798
281	312	796
282	313	793
283	313	791
284	314	788
285	315	786
286	315	783
287	316	781
288	316	778
289	317	776
290	317	773
291	318	771
292	318	769
293	319	766
294	319	764
295	320	762
296	321	760
297	321	757
298	322	755
299	322	753
300	323	750
301	323	748
302	324	746
303	325	744
304	325	742
305	326	739
306	327	738
307	328	737
308	328	734
309	329	732
310	329	730
311	330	728
312	330	726
313	331	724
314	332	722
315	332	719
316	333	717
317	333	715
318	334	713
319	335	711
320	335	709
321	336	707
322	336	705
323	337	703
324	337	701
325	338	699
326	339	697
327	339	696
328	340	694
329	340	692
330	341	690
331	342	688
332	342	686
333	343	684
334	343	682
335	344	680
336	345	678
337	345	676
338	346	674
339	346	672
340	347	670
341	347	668
342	348	666
343	348	664
344	349	663
345	349	661
346	350	659
347	350	657
348	351	655
349	351	653
350	352	652
351	353	650
352	353	648
353	354	646
354	354	644
355	355	643
356	356	641
357	356	639
358	357	638
359	358	636
360	358	634
361	359	633
362	359	631
363	360	629
364	360	627
365	361	626
366	362	624
367	362	622
368	363	621
369	363	619
370	364	617
371	364	616
372	365	614
373	366	612
374	366	611
375	367	609
376	368	608
377	368	606
378	369	605
379	369	603
380	370	602
381	371	600
382	372	599
383	372	598
384	373	596
385	374	595
386	374	593
387	375	592
388	375	590
389	376	588
390	376	587
391	377	585
392	378	584
393	378	582
394	379	581
395	379	579
396	380	578
397	381	576
398	381	574
399	382	573
400	383	572
401	383	571
402	384	569
403	385	568
404	385	566
405	386	565
406	387	564
407	387	562
408	388	561
409	389	560
410	390	559
411	390	557
412	391	556
413	392	554
414	392	553
415	393	552
416	393	550
417	394	549
418	395	548
419	395	546
420	396	545
421	397	543
422	397	542
423	398	541
424	399	539
425	399	538
426	400	537
427	400	535
428	401	534
429	401	532
430	402	531
